source_id,claim,url,version_or_locator,sha256,verification_status,review_method,review_date
rhomax-csv,"Source sequences,targets,and train/validation/test assignments",https://flip.protein.properties/assets/splits/rhomax/by_wild_type.csv.gz,zenodo-18433203-v3 decompressed CSV,8e78f6a16cd5298131dca83130d4b94cc0ab4ae9c699460880441c19a65f656f,pinned_source_bytes_verified,fresh download hash plus independent exact 884-row sequence/target/split comparison,2026-09-21
index.html,FLIP2 upstream procedure and source catalogue,https://flip.protein.properties/,zenodo-18433203-v3,cd991ae6e76a5e84ea5449f91c4ed86ba4f57942682dc3c50d872c366bbbd4b7,prior_pinned_source_receipt,reused packaged source ledger; not fetched again,2026-09-21
paper.pdf,FLIP2 upstream procedure and source catalogue,https://flip.protein.properties/assets/FLIP_manuscipt.pdf,zenodo-18433203-v3,d0e61ca27863c023adddcc225a3e4af1718f2e3fdfe3642bef89c24c93621a17,prior_pinned_source_receipt,reused packaged source ledger; not fetched again,2026-09-21
zenodo.json,FLIP2 upstream procedure and source catalogue,https://zenodo.org/api/records/18433203,zenodo-18433203-v3,b02ad8a94b7272b95a9b630a47ea0fc857cce4bc177de7ce80cd4fa6732e439f,prior_pinned_source_receipt,reused packaged source ledger; not fetched again,2026-09-21
baselines_aggregate.py,FLIP2 upstream procedure and source catalogue,https://raw.githubusercontent.com/J-SNACKKB/FLIP/62cace8735f5610e2743cf06ce0f944b37fffaa6/baselines/aggregate.py,62cace8735f5610e2743cf06ce0f944b37fffaa6,e4df0e547ab72bb659d7235e9a2e366bab6788002bfd73e3238bbf2fbc898313,pinned_source_bytes_verified,fresh download hash; metric definitions checked at aggregate.py131–135,2026-09-21
baselines_linear_models.py,FLIP2 upstream procedure and source catalogue,https://raw.githubusercontent.com/J-SNACKKB/FLIP/62cace8735f5610e2743cf06ce0f944b37fffaa6/baselines/linear_models.py,62cace8735f5610e2743cf06ce0f944b37fffaa6,b9a0c656574b3b1be2fd2bad5ee56cac31af89fff6e9c45d1d87b559d82a34ed,pinned_source_bytes_verified,fresh download hash; metric definitions checked at aggregate.py131–135,2026-09-21
esm2-8m-weights,Exact frozen ESM-2 checkpoint,https://dl.fbaipublicfiles.com/fair-esm/models/esm2_t6_8M_UR50D.pt,esm2_t6_8M_UR50D,46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928,local_bytes_verified,sha256 comparison to existing pinned adapter,2026-09-21
esm-pooling,Residue mean excludes BOS/EOS/padding,https://github.com/facebookresearch/esm#usage,fair-esm2.0.0 final layer6,,implementation_tested,manual synthetic pooling test in torch2.2.2,2026-09-21
esm-official-Available,ESM2 checkpoint identity and residue-mean representation procedure,https://raw.githubusercontent.com/facebookresearch/esm/2b369911bb5b4b0dda914521b9475cad1656b2ac/README.md,Available Models table and representation extraction usage,8b273c21a322fc9473d1b68d0dd40c8166ab2f89e4a190aa26ca87251b97cba9,source_checked,fetched immutable revision and checked source,2026-09-21
esm-official-esm2_t12_35M_UR50D,ESM2 checkpoint identity and residue-mean representation procedure,https://raw.githubusercontent.com/facebookresearch/esm/2b369911bb5b4b0dda914521b9475cad1656b2ac/esm/pretrained.py,esm2_t12_35M_UR50D and load_model_and_alphabet_core,1938be9951639bcc57419f18d67ef41a4e5cb276603f76215023ffdfea140c78,source_checked,fetched immutable revision and checked source,2026-09-21
esm2-35m-weights,Exact 35M frozen checkpoint,https://dl.fbaipublicfiles.com/fair-esm/models/esm2_t12_35M_UR50D.pt,esm2_t12_35M_UR50D,7f21e80e61d16a71735163ef555d3009afb0c98da74c48e29df08606973cc55e,official_source_bytes_pinned,"official HTTPS download; local SHA256 pin, not an upstream-published checksum",2026-09-21
