check,status,review_method,evidence
all_expected_variants_scored,passed,automated_execution_and_source_formula_comparison,audit.json; report.json; reproduce.py
held_out_labels_excluded_from_adapter,passed,automated_execution_and_source_formula_comparison,audit.json; report.json; reproduce.py
network_blocked_during_execution,passed,automated_execution_and_source_formula_comparison,audit.json; report.json; reproduce.py
no_full_suite_metric,passed,automated_execution_and_source_formula_comparison,audit.json; report.json; reproduce.py
no_unscored_variants,passed,automated_execution_and_source_formula_comparison,audit.json; report.json; reproduce.py
rounded_metrics_match_pinned_upstream_formulas,passed,automated_execution_and_source_formula_comparison,audit.json; report.json; reproduce.py
saved_predictions_recompute_exactly,passed,automated_execution_and_source_formula_comparison,audit.json; report.json; reproduce.py
smoke_separate_from_complete_assay,passed,automated_execution_and_source_formula_comparison,audit.json; report.json; reproduce.py
unique_ids_validated_by_sdk,passed,automated_execution_and_source_formula_comparison,audit.json; report.json; reproduce.py
independent_source_checksum,gap,official_download_with_observed_sha256,retrieval.json: source host does not independently establish expected archive hash
training_overlap,unreported,not_assessed,report.json: UniRef50 pretraining may overlap benchmark proteins
published_score_reproduction,not_claimed,new_local_evaluation,README.md
all_saved_predictions_match_upstream_masked_marginals,passed,independent_pinned_source_execution,masking-verification.json; verify_masked_marginals.py
cache_repeat_and_input_immutability,passed,independent_pinned_source_execution,masking-verification.json; verify_masked_marginals.py
score_direction_consistent_with_upstream,passed,independent_pinned_source_execution,masking-verification.json; verify_masked_marginals.py
