claim_id,claim,source_url,source_revision,artifact_sha256,evidence_location,review_date,review_method,outcome,limitations
S01,SpliceAI 1.3.1 describes the bundled GRCh38 table as GENCODE v24 canonical annotation.,https://raw.githubusercontent.com/Illumina/SpliceAI/b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0/README.md,b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0,27e21cc914a291f28f699aec156f4b9414f66e6024ad86b5fcd17ef4e66d3f63,Usage: required parameter -A,2026-09-24,automated_source_review,source_checked,Upstream description; does not authenticate the annotation bytes used in the archived run.
S02,SpliceAI mask accepts 0 or 1 and defaults to 0; distance defaults to 50.,https://raw.githubusercontent.com/Illumina/SpliceAI/b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0/spliceai/__main__.py,b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0,1090e97a5f7d8f937048b7d1f08d98fb593bd86953e9d64178aa3ca096961a77,"get_options, lines 29-36",2026-09-24,automated_source_review,source_checked,Inspected v1.3.1 CLI code.
S03,Exact grch37/grch38 aliases resolve packaged annotation files before parsing; other strings are treated as custom paths.,https://raw.githubusercontent.com/Illumina/SpliceAI/b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0/spliceai/utils.py,b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0,207e147c73bdc1970fdb176dcbf088883f9a58756bfeb0d93494e75018ae477c,"Annotator.__init__, lines 12-20",2026-09-24,automated_source_review,source_checked,A same-named current-directory file does not override an exact bundled alias.
S04,SpliceAI converts transcript and exon starts from zero-based to one-based; ends are retained.,https://raw.githubusercontent.com/Illumina/SpliceAI/b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0/spliceai/utils.py,b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0,207e147c73bdc1970fdb176dcbf088883f9a58756bfeb0d93494e75018ae477c,"Annotator.__init__, lines 24-29",2026-09-24,automated_source_review,source_checked,Defines coordinate conversion for proposed custom annotation.
S05,SpliceAI selects gain/loss extrema before masking against the nearest annotated exon boundary.,https://raw.githubusercontent.com/Illumina/SpliceAI/b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0/spliceai/utils.py,b3c7f17b4137cb32b30c56c064f8b90b9b8f38d0,207e147c73bdc1970fdb176dcbf088883f9a58756bfeb0d93494e75018ae477c,"get_pos_data and get_delta_scores, lines 60-68 and 182-202",2026-09-24,automated_source_review,source_checked,Do not equate its masking algorithm with Pangolin.
P01,Pangolin masking defaults to True; it suppresses annotated gains and unannotated losses before reporting extremes.,https://raw.githubusercontent.com/tkzeng/Pangolin/5cf94b8db938c658391b4305cd7ce33297d44ff7/pangolin/pangolin.py,5cf94b8db938c658391b4305cd7ce33297d44ff7,f3f25c4febf64d01ef42f967dc5cf10f6856bf3aa92d26f09803ad408169da9b,"process_variant lines 143-153, 177-188; main lines 203-204",2026-09-24,automated_source_review,source_checked,"Current pinned code inspection, not confirmation of the historic installed version."
P02,Pangolin annotation database creation defaults to filtering transcript and exon features by Ensembl_canonical.,https://raw.githubusercontent.com/tkzeng/Pangolin/5cf94b8db938c658391b4305cd7ce33297d44ff7/scripts/create_db.py,5cf94b8db938c658391b4305cd7ce33297d44ff7,b95a16d0b529ec9054e394a5d6d5213c268d63df243fea35513d20b949a7cab5,"--filter and filter(feat), lines 7 and 18-29",2026-09-24,automated_source_review,source_checked,Original gene boundaries are retained by that script; matching releases alone does not match transcript spans.
P03,Pangolin collects gene-body overlaps and exon boundaries from a gffutils database.,https://raw.githubusercontent.com/tkzeng/Pangolin/5cf94b8db938c658391b4305cd7ce33297d44ff7/pangolin/pangolin.py,5cf94b8db938c658391b4305cd7ce33297d44ff7,f3f25c4febf64d01ef42f967dc5cf10f6856bf3aa92d26f09803ad408169da9b,"get_genes, lines 64-80",2026-09-24,automated_source_review,source_checked,Proposed matched annotations require checking represented gene spans and exon coordinates.
A01,"Archived SpliceAI configuration reports grch38, mask 0, distance 50, and coverage 8194/8324.",https://github.com/rewire-bio/rewire-benchmarks/blob/fe72dddb767207f67dd5d310cbf9099a8eda1142/benchmarks/mfass/results/spliceai-1.3.1.json,fe72dddb767207f67dd5d310cbf9099a8eda1142,6d5c59eb0fd60d95064d97e331c9cdb12b2a34db7dc509ff73dfb9502ddf02dd,config; coverage,2026-09-24,automated_source_review,source_checked,"Source checked archive fields, not a rerun."
A02,"Archived Pangolin configuration reports GENCODE v44, mask False, distance 50, and coverage 8301/8324.",https://github.com/rewire-bio/rewire-benchmarks/blob/fe72dddb767207f67dd5d310cbf9099a8eda1142/benchmarks/mfass/results/pangolin-maskFalse.json,fe72dddb767207f67dd5d310cbf9099a8eda1142,bb0bb6732808699e54938233df1835dfc1f775f33ba7d6acd916e53d588a3c44,config; coverage,2026-09-24,automated_source_review,source_checked,"GENCODE v44 is a historical declaration, not verified artifact provenance."
A03,Archived Pangolin notes assert Both are run but the committed archive includes only maskFalse predictions.,https://github.com/rewire-bio/rewire-benchmarks/blob/fe72dddb767207f67dd5d310cbf9099a8eda1142/benchmarks/mfass/results/pangolin-maskFalse.json,fe72dddb767207f67dd5d310cbf9099a8eda1142,bb0bb6732808699e54938233df1835dfc1f775f33ba7d6acd916e53d588a3c44,notes; git ls-tree -r at source revision for maskTrue/maskFalse paths,2026-09-24,automated_source_review,unsupported_execution_claim,Execution claim withdrawn; unchanged archived file retained. Inventory covers this Git revision only.
A04,"Historic specialist result JSON omits annotation, reference FASTA, and weight hashes; Pangolin upstream revision is not recorded.",https://github.com/rewire-bio/rewire-benchmarks/blob/fe72dddb767207f67dd5d310cbf9099a8eda1142/benchmarks/mfass/results/pangolin-maskFalse.json,fe72dddb767207f67dd5d310cbf9099a8eda1142,bb0bb6732808699e54938233df1835dfc1f775f33ba7d6acd916e53d588a3c44,config; git_revision; paired SpliceAI artifact identified by A01,2026-09-24,automated_source_review,unreported,Current upstream inspection cannot fill historical provenance gaps.
C01,"The canonical split contains 19409 train and 8324 test rows, with 463 test groups.",https://github.com/rewire-bio/rewire-benchmarks/blob/fe72dddb767207f67dd5d310cbf9099a8eda1142/benchmarks/mfass/splits/split-v2.tsv,fe72dddb767207f67dd5d310cbf9099a8eda1142,999ebcb7e63a5c5eaa8780fa468e59ac1f934260ad50102814174c396317f052,split and group columns; counts from CSV inspection,2026-09-24,automated_source_review,source_checked,No metric recomputation or new inference.
C02,"Paired comparison defaults are capacity 100, 2000 draws, seed 20260914; comparison intersects scored IDs and validates shared labels/groups.",https://github.com/rewire-bio/rewire-benchmarks/blob/fe72dddb767207f67dd5d310cbf9099a8eda1142/benchmarks/mfass/src/mfass/compare.py,fe72dddb767207f67dd5d310cbf9099a8eda1142,5a9e9fb5ae34098ecadfac3425cf6528cee9f87da40a67bc99821deb2ab2c1a5,main; load_predictions; check_protocol_metadata,2026-09-24,automated_source_review,source_checked,Missing legacy hashes remain protocol_compatibility_unverified.
C03,"Bootstrap resamples whole groups, pairs both models within each draw, and scales capacity with resampled list size.",https://github.com/rewire-bio/rewire-benchmarks/blob/fe72dddb767207f67dd5d310cbf9099a8eda1142/packages/rewirebench/src/rewirebench/metrics.py,fe72dddb767207f67dd5d310cbf9099a8eda1142,4030374ed11d38e523fc9991ddd792f8800e7739ac71588085bfff91f912d7f7,"paired_group_bootstrap, lines65-142",2026-09-24,automated_source_review,source_checked,Point estimate uses requested capacity; intervals hold review fraction fixed and report realised capacities.
